Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,0.009086,0.009111,0.009066,0.009106,0.009106,94504
2021-08-30,0.009105,0.009116,0.009095,0.009101,0.009101,47945
2021-08-31,0.009099,0.009127,0.009085,0.009092,0.009092,113469
2021-09-01,0.009093,0.009102,0.009057,0.009097,0.009097,115909
2021-09-02,0.009090,0.009099,0.009081,0.009094,0.009094,64509
2021-09-03,0.009096,0.009130,0.009085,0.009122,0.009122,124350
2021-09-07,0.009109,0.009117,0.009065,0.009068,0.009068,178452
2021-09-08,0.009069,0.009079,0.009054,0.009073,0.009073,173515
2021-09-09,0.009069,0.009123,0.009069,0.009116,0.009116,174045
2021-09-10,0.009112,0.009116,0.009092,0.009099,0.009099,27116
2021-09-13,0.009099,0.009101,0.009079,0.009099,0.009099,59
2021-09-14,0.009088,0.009124,0.009084,0.009124,0.009124,29
2021-09-15,0.009130,0.009159,0.009127,0.009143,0.009143,195
2021-09-16,0.009152,0.009152,0.009108,0.009118,0.009118,47
2021-09-17,0.009117,0.009117,0.009090,0.009100,0.009100,237
2021-09-20,0.009099,0.009146,0.009099,0.009146,0.009146,19
2021-09-21,0.009131,0.009158,0.009122,0.009158,0.009158,12
2021-09-22,0.009147,0.009147,0.009104,0.009104,0.009104,309
2021-09-23,0.009104,0.009104,0.009072,0.009073,0.009073,25
2021-09-24,0.009060,0.009060,0.009027,0.009027,0.009027,17
2021-09-27,0.009027,0.009044,0.009008,0.009009,0.009009,20
2021-09-28,0.009008,0.009008,0.008962,0.008962,0.008962,17
2021-09-29,0.008969,0.008976,0.008928,0.008931,0.008931,20
2021-09-30,0.008938,0.008984,0.008928,0.008978,0.008978,17
2021-10-01,0.008976,0.009015,0.008976,0.009007,0.009007,24
2021-10-04,0.009011,0.009018,0.009001,0.009018,0.009018,17
2021-10-05,0.009013,0.009013,0.008968,0.008970,0.008970,15
2021-10-06,0.008948,0.008984,0.008948,0.008975,0.008975,16
2021-10-07,0.008989,0.008989,0.008960,0.008960,0.008960,6
2021-10-08,0.008939,0.008939,0.008911,0.008914,0.008914,4
2021-10-11,0.008855,0.008855,0.008821,0.008824,0.008824,24
2021-10-12,0.008823,0.008840,0.008798,0.008798,0.008798,33
2021-10-13,0.008817,0.008822,0.008794,0.008822,0.008822,158
2021-10-14,0.008807,0.008818,0.008798,0.008798,0.008798,149
2021-10-15,0.008783,0.008783,0.008752,0.008752,0.008752,61
2021-10-18,0.008751,0.008753,0.008751,0.008753,0.008753,167
2021-10-19,0.008760,0.008760,0.008748,0.008750,0.008750,56
